id,task,task_label,contestant,contestant_label,base,adjustment,points,rank,rigid,spread,scale,5+3,3+2,3½+2½
151,34,Play mini golf with eggs,6,Romesh Ranganathan,1,,1,5,1.0,1.0,1.0,,,
152,34,Play mini golf with eggs,7,Tim Key,3,,3,3,3.0,3.0,3.0,,,
153,35,Stage a realistic home movie blooper,3,Frank Skinner,2,,2,1=,,,5.0,5.0,3.0,3.5
154,35,Stage a realistic home movie blooper,4,Josh Widdicombe,0,,0,,,,,,,
155,35,Stage a realistic home movie blooper,5,Roisin Conaty,0,,0,,,,,,,
156,35,Stage a realistic home movie blooper,6,Romesh Ranganathan,0,,0,,,,,,,
157,35,Stage a realistic home movie blooper,7,Tim Key,2,,2,1=,,,5.0,5.0,3.0,3.5
158,36,Make an alphabet meal,3,Frank Skinner,5,,5,1,5.0,5.0,5.0,,,
159,36,Make an alphabet meal,4,Josh Widdicombe,1,,1,4=,2.0,1.5,1.0,,,
160,36,Make an alphabet meal,5,Roisin Conaty,1,,1,4=,2.0,1.5,1.0,,,
161,36,Make an alphabet meal,6,Romesh Ranganathan,4,,4,2,4.0,4.0,4.0,,,
162,36,Make an alphabet meal,7,Tim Key,3,,3,3,3.0,3.0,3.0,,,
163,37,Separate the blue sweets,3,Frank Skinner,3,,3,3,3.0,3.0,3.0,,,
164,37,Separate the blue sweets,4,Josh Widdicombe,2,,2,4,2.0,2.0,2.0,,,
165,37,Separate the blue sweets,5,Roisin Conaty,1,,1,5,1.0,1.0,1.0,,,
166,37,Separate the blue sweets,6,Romesh Ranganathan,4,,4,2,4.0,4.0,4.0,,,
167,37,Separate the blue sweets,7,Tim Key,5,,5,1,5.0,5.0,5.0,,,
168,38,The most important document,8,Doc Brown,4,,4,2,4.0,4.0,3.75,,,
169,38,The most important document,9,Joe Wilkinson,5,,5,1,5.0,5.0,4.69,,,
170,38,The most important document,10,Jon Richardson,2,,2,4=,2.0,1.5,1.88,,,
171,38,The most important document,11,Katherine Ryan,3,,3,3,3.0,3.0,2.81,,,
172,38,The most important document,12,Richard Osman,2,,2,4=,2.0,1.5,1.88,,,
173,39,Place the exercise balls on the yoga mat,8,Doc Brown,1,,1,5,1.0,1.0,1.0,,,
174,39,Place the exercise balls on the yoga mat,9,Joe Wilkinson,2,,2,4,2.0,2.0,2.0,,,
175,39,Place the exercise balls on the yoga mat,10,Jon Richardson,4,,4,2,4.0,4.0,4.0,,,
176,39,Place the exercise balls on the yoga mat,11,Katherine Ryan,3,,3,3,3.0,3.0,3.0,,,
177,39,Place the exercise balls on the yoga mat,12,Richard Osman,5,,5,1,5.0,5.0,5.0,,,
178,40,Get the potato into the hole,8,Doc Brown,2,,2,4,2.0,2.0,2.0,,,
179,40,Get the potato into the hole,9,Joe Wilkinson,,,0,,,,,,,
180,40,Get the potato into the hole,10,Jon Richardson,5,,5,1,5.0,5.0,5.0,,,
181,40,Get the potato into the hole,11,Katherine Ryan,3,,3,3,3.0,3.0,3.0,,,
182,40,Get the potato into the hole,12,Richard Osman,4,,4,2,4.0,4.0,4.0,,,
183,41,Find out about the Swedish person,8,Doc Brown,2,,2,4,2.0,2.0,2.0,,,
184,41,Find out about the Swedish person,9,Joe Wilkinson,1,,1,5,1.0,1.0,1.0,,,
185,41,Find out about the Swedish person,10,Jon Richardson,3,,3,3,3.0,3.0,3.0,,,
186,41,Find out about the Swedish person,11,Katherine Ryan,5,,5,1,5.0,5.0,5.0,,,
187,41,Find out about the Swedish person,12,Richard Osman,4,,4,2,4.0,4.0,4.0,,,
188,42,Pack a suitcase,8,Doc Brown,0,,0,,,,,,,
189,42,Pack a suitcase,9,Joe Wilkinson,0,,0,,,,,,,
190,42,Pack a suitcase,10,Jon Richardson,4,,4,2,4.0,4.0,4.0,,,
191,42,Pack a suitcase,11,Katherine Ryan,3,,3,3,3.0,3.0,3.0,,,
192,42,Pack a suitcase,12,Richard Osman,5,,5,1,5.0,5.0,5.0,,,
193,43,The trendiest item of clothing,8,Doc Brown,5,,5,1,5.0,5.0,5.0,,,
194,43,The trendiest item of clothing,9,Joe Wilkinson,2,,2,4,2.0,2.0,2.0,,,
195,43,The trendiest item of clothing,10,Jon Richardson,3,,3,3,3.0,3.0,3.0,,,
196,43,The trendiest item of clothing,11,Katherine Ryan,4,,4,2,4.0,4.0,4.0,,,
197,43,The trendiest item of clothing,12,Richard Osman,1,,1,5,1.0,1.0,1.0,,,
198,44,Quickly eat an egg,8,Doc Brown,4,,4,2,4.0,4.0,4.0,,,
199,44,Quickly eat an egg,9,Joe Wilkinson,2,,2,4,2.0,2.0,2.0,,,
200,44,Quickly eat an egg,10,Jon Richardson,3,,3,3,3.0,3.0,3.0,,,
201,44,Quickly eat an egg,11,Katherine Ryan,0,,0,,,,,,,
202,44,Quickly eat an egg,12,Richard Osman,5,,5,1,5.0,5.0,5.0,,,
203,45,Create a nursery rhyme video,8,Doc Brown,5,,5,1=,5.0,4.5,3.95,,,
204,45,Create a nursery rhyme video,9,Joe Wilkinson,2,,2,5,1.0,1.0,1.58,,,
205,45,Create a nursery rhyme video,10,Jon Richardson,5,,5,1=,5.0,4.5,3.95,,,
206,45,Create a nursery rhyme video,11,Katherine Ryan,4,,4,3,3.0,3.0,3.16,,,
207,45,Create a nursery rhyme video,12,Richard Osman,3,,3,4,2.0,2.0,2.37,,,
208,46,A photo of an object that looks like you,8,Doc Brown,1,,1,5,1.0,1.0,1.0,,,
209,46,A photo of an object that looks like you,9,Joe Wilkinson,2,,2,4,2.0,2.0,2.0,,,
210,46,A photo of an object that looks like you,10,Jon Richardson,4,,4,2,4.0,4.0,4.0,,,
211,46,A photo of an object that looks like you,11,Katherine Ryan,3,,3,3,3.0,3.0,3.0,,,
212,46,A photo of an object that looks like you,12,Richard Osman,5,,5,1,5.0,5.0,5.0,,,
213,47,Order a pizza without using certain words,8,Doc Brown,2,1,3,4,2.0,2.0,2.0,,,
214,47,Order a pizza without using certain words,9,Joe Wilkinson,4,1,5,2,4.0,4.0,4.0,,,
215,47,Order a pizza without using certain words,10,Jon Richardson,5,,5,1,5.0,5.0,5.0,,,
216,47,Order a pizza without using certain words,11,Katherine Ryan,3,1,4,3,3.0,3.0,3.0,,,
217,47,Order a pizza without using certain words,12,Richard Osman,1,,1,5,1.0,1.0,1.0,,,
218,48,Put potatoes in a basket,8,Doc Brown,0,,0,,,,,,,
219,48,Put potatoes in a basket,9,Joe Wilkinson,0,,0,,,,,,,
220,48,Put potatoes in a basket,10,Jon Richardson,5,,5,1,5.0,5.0,5.0,,,
221,48,Put potatoes in a basket,11,Katherine Ryan,4,,4,2,4.0,4.0,4.0,,,
222,48,Put potatoes in a basket,12,Richard Osman,,,0,,,,,,,
223,49,The best dinner party guest,8,Doc Brown,3,,3,3,3.0,3.0,3.0,,,
224,49,The best dinner party guest,9,Joe Wilkinson,5,,5,1,5.0,5.0,5.0,,,
225,49,The best dinner party guest,10,Jon Richardson,1,,1,5,1.0,1.0,1.0,,,
226,49,The best dinner party guest,11,Katherine Ryan,4,,4,2,4.0,4.0,4.0,,,
227,49,The best dinner party guest,12,Richard Osman,2,,2,4,2.0,2.0,2.0,,,
228,50,Impress the Mayor,8,Doc Brown,2,,2,4,2.0,2.0,2.0,,,
229,50,Impress the Mayor,9,Joe Wilkinson,3,,3,3,3.0,3.0,3.0,,,
230,50,Impress the Mayor,10,Jon Richardson,1,,1,5,1.0,1.0,1.0,,,
231,50,Impress the Mayor,11,Katherine Ryan,5,,5,1,5.0,5.0,5.0,,,
232,50,Impress the Mayor,12,Richard Osman,4,,4,2,4.0,4.0,4.0,,,
233,51,Make an unexpected silhouette,8,Doc Brown,1,,1,5,1.0,1.0,1.0,,,
234,51,Make an unexpected silhouette,9,Joe Wilkinson,3,,3,3,3.0,3.0,3.0,,,
235,51,Make an unexpected silhouette,10,Jon Richardson,5,,5,1,5.0,5.0,5.0,,,
236,51,Make an unexpected silhouette,11,Katherine Ryan,2,,2,4,2.0,2.0,2.0,,,
237,51,Make an unexpected silhouette,12,Richard Osman,4,,4,2,4.0,4.0,4.0,,,
238,52,Buy a gift for the Taskmaster,8,Doc Brown,3,,3,3,3.0,3.0,3.0,,,
239,52,Buy a gift for the Taskmaster,9,Joe Wilkinson,2,,2,4,2.0,2.0,2.0,,,
240,52,Buy a gift for the Taskmaster,10,Jon Richardson,1,,1,5,1.0,1.0,1.0,,,
241,52,Buy a gift for the Taskmaster,11,Katherine Ryan,4,,4,2,4.0,4.0,4.0,,,
242,52,Buy a gift for the Taskmaster,12,Richard Osman,5,,5,1,5.0,5.0,5.0,,,
243,53,"See no potato, hear no potato, speak no potato",8,Doc Brown,0,,0,,,,,,,
244,53,"See no potato, hear no potato, speak no potato",9,Joe Wilkinson,0,,0,,,,,,,
245,53,"See no potato, hear no potato, speak no potato",10,Jon Richardson,5,,5,1=,,,5.0,5.0,3.0,3.5
246,53,"See no potato, hear no potato, speak no potato",11,Katherine Ryan,0,,0,,,,,,,
247,53,"See no potato, hear no potato, speak no potato",12,Richard Osman,5,,5,1=,,,5.0,5.0,3.0,3.5
248,54,Throw rabbits into a hat,8,Doc Brown,12,,12,2=,4.0,3.5,3.6,,,
249,54,Throw rabbits into a hat,9,Joe Wilkinson,12,,12,2=,4.0,3.5,3.6,,,
250,54,Throw rabbits into a hat,10,Jon Richardson,4,,4,5,1.0,1.0,1.2,,,
251,54,Throw rabbits into a hat,11,Katherine Ryan,15,,15,1,5.0,5.0,4.5,,,
252,54,Throw rabbits into a hat,12,Richard Osman,7,,7,4,2.0,2.0,2.1,,,
253,55,The coolest blue item,8,Doc Brown,3,,3,3,3.0,3.0,3.0,,,
254,55,The coolest blue item,9,Joe Wilkinson,4,,4,2,4.0,4.0,4.0,,,
255,55,The coolest blue item,10,Jon Richardson,5,,5,1,5.0,5.0,5.0,,,
256,55,The coolest blue item,11,Katherine Ryan,2,,2,4,2.0,2.0,2.0,,,
257,55,The coolest blue item,12,Richard Osman,1,,1,5,1.0,1.0,1.0,,,
258,56,Rescue Patatas from the tree,8,Doc Brown,4,,4,2,4.0,4.0,4.0,,,
259,56,Rescue Patatas from the tree,9,Joe Wilkinson,3,,3,3,3.0,3.0,3.0,,,
260,56,Rescue Patatas from the tree,10,Jon Richardson,2,,2,4,2.0,2.0,2.0,,,
261,56,Rescue Patatas from the tree,11,Katherine Ryan,5,,5,1,5.0,5.0,5.0,,,
262,56,Rescue Patatas from the tree,12,Richard Osman,0,,0,,,,,,,
263,57,Conceal a pineapple on your person,8,Doc Brown,2,,2,4,2.0,2.0,2.0,,,
264,57,Conceal a pineapple on your person,9,Joe Wilkinson,1,,1,5,1.0,1.0,1.0,,,
265,57,Conceal a pineapple on your person,10,Jon Richardson,5,,5,1,5.0,5.0,5.0,,,
266,57,Conceal a pineapple on your person,11,Katherine Ryan,4,,4,2,4.0,4.0,4.0,,,
267,57,Conceal a pineapple on your person,12,Richard Osman,3,,3,3,3.0,3.0,3.0,,,
268,58,Set a task / Guess who set the tasks,8,Doc Brown,0,,0,,,,,,,
269,58,Set a task / Guess who set the tasks,9,Joe Wilkinson,0,,0,,,,,,,
270,58,Set a task / Guess who set the tasks,10,Jon Richardson,4,,4,1,5.0,5.0,5.0,,,
271,58,Set a task / Guess who set the tasks,11,Katherine Ryan,0,,0,,,,,,,
272,58,Set a task / Guess who set the tasks,12,Richard Osman,0,,0,,,,,,,
273,59,Construct something for the Taskmaster,8,Doc Brown,4,,4,1=,,,4.29,5.0,3.0,3.5
274,59,Construct something for the Taskmaster,9,Joe Wilkinson,4,,4,1=,,,4.29,5.0,3.0,3.5
275,59,Construct something for the Taskmaster,10,Jon Richardson,1,,1,2=,,,1.07,3.0,2.0,2.5
276,59,Construct something for the Taskmaster,11,Katherine Ryan,4,,4,1=,,,4.29,5.0,3.0,3.5
277,59,Construct something for the Taskmaster,12,Richard Osman,1,,1,2=,,,1.07,3.0,2.0,2.5
278,60,Build the tallest tower using potato products,8,Doc Brown,5,,5,1,5.0,5.0,5.0,,,
279,60,Build the tallest tower using potato products,9,Joe Wilkinson,0,,0,,,,,,,
280,60,Build the tallest tower using potato products,10,Jon Richardson,0,,0,,,,,,,
281,60,Build the tallest tower using potato products,11,Katherine Ryan,0,,0,,,,,,,
282,60,Build the tallest tower using potato products,12,Richard Osman,0,,0,,,,,,,
283,61,The best piece of memorabilia,8,Doc Brown,2,,2,4,2.0,2.0,2.0,,,
284,61,The best piece of memorabilia,9,Joe Wilkinson,1,,1,5,1.0,1.0,1.0,,,
285,61,The best piece of memorabilia,10,Jon Richardson,3,,3,3,3.0,3.0,3.0,,,
286,61,The best piece of memorabilia,11,Katherine Ryan,4,,4,2,4.0,4.0,4.0,,,
287,61,The best piece of memorabilia,12,Richard Osman,5,,5,1,5.0,5.0,5.0,,,
288,62,Move items across a stream,8,Doc Brown,,,0,,,,,,,
289,62,Move items across a stream,9,Joe Wilkinson,5,,5,1,5.0,5.0,5.0,,,
290,62,Move items across a stream,10,Jon Richardson,,,0,,,,,,,
291,62,Move items across a stream,11,Katherine Ryan,3,,3,3,3.0,3.0,3.0,,,
292,62,Move items across a stream,12,Richard Osman,4,,4,2,4.0,4.0,4.0,,,
293,63,Create a stop-motion film starring a potato,8,Doc Brown,2,,2,2=,,,2.5,3.0,2.0,2.5
294,63,Create a stop-motion film starring a potato,9,Joe Wilkinson,2,,2,2=,,,2.5,3.0,2.0,2.5
295,63,Create a stop-motion film starring a potato,10,Jon Richardson,3,,3,1=,,,3.75,5.0,3.0,3.5
296,63,Create a stop-motion film starring a potato,11,Katherine Ryan,2,,2,2=,,,2.5,3.0,2.0,2.5
297,63,Create a stop-motion film starring a potato,12,Richard Osman,3,,3,1=,,,3.75,5.0,3.0,3.5
298,64,Build a bridge for the potato,8,Doc Brown,4,,4,2,4.0,4.0,4.0,,,
299,64,Build a bridge for the potato,9,Joe Wilkinson,3,,3,3,3.0,3.0,3.0,,,
300,64,Build a bridge for the potato,10,Jon Richardson,5,,5,1,5.0,5.0,5.0,,,
301,64,Build a bridge for the potato,11,Katherine Ryan,1,,1,5,1.0,1.0,1.0,,,
302,64,Build a bridge for the potato,12,Richard Osman,2,,2,4,2.0,2.0,2.0,,,
303,65,"Put on gloves, eat a banana, put on a tie, and clap",8,Doc Brown,4,,4,2,4.0,4.0,4.0,,,
304,65,"Put on gloves, eat a banana, put on a tie, and clap",9,Joe Wilkinson,0,,0,,,,,,,
305,65,"Put on gloves, eat a banana, put on a tie, and clap",10,Jon Richardson,2,,2,4,2.0,2.0,2.0,,,
306,65,"Put on gloves, eat a banana, put on a tie, and clap",11,Katherine Ryan,3,,3,3,3.0,3.0,3.0,,,
307,65,"Put on gloves, eat a banana, put on a tie, and clap",12,Richard Osman,5,,5,1,5.0,5.0,5.0,,,
308,66,The most flamboyant clock,13,Al Murray,4,,4,2,4.0,4.0,4.0,,,
309,66,The most flamboyant clock,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
310,66,The most flamboyant clock,15,Paul Chowdhry,1,,1,5,1.0,1.0,1.0,,,
311,66,The most flamboyant clock,16,Rob Beckett,2,,2,4,2.0,2.0,2.0,,,
312,66,The most flamboyant clock,17,Sara Pascoe,5,,5,1,5.0,5.0,5.0,,,
313,67,Reach the microwave in the fewest steps,13,Al Murray,4,,4,2,4.0,4.0,4.0,,,
314,67,Reach the microwave in the fewest steps,14,Dave Gorman,2,,2,4,2.0,2.0,2.0,,,
315,67,Reach the microwave in the fewest steps,15,Paul Chowdhry,0,,0,,,,,,,
316,67,Reach the microwave in the fewest steps,16,Rob Beckett,5,,5,1,5.0,5.0,5.0,,,
