id,task,task_label,contestant,contestant_label,base,adjustment,points,rank,rigid,spread,scale,5+3,3+2,3½+2½
638,136,Wheelie bin obstacle course,20,Lolly Adefope,3,,3,1=,,,3.46,5.0,3.0,3.5
639,136,Wheelie bin obstacle course,21,Mel Giedroyc,2,,2,2=,,,2.31,3.0,2.0,2.5
640,136,Wheelie bin obstacle course,22,Noel Fielding,3,,3,1=,,,3.46,5.0,3.0,3.5
641,137,Invent a new handshake,18,Hugh Dennis,3,,3,3=,3.0,2.0,2.5,,,
642,137,Invent a new handshake,19,Joe Lycett,5,,5,1,5.0,5.0,4.17,,,
643,137,Invent a new handshake,20,Lolly Adefope,3,,3,3=,3.0,2.0,2.5,,,
644,137,Invent a new handshake,21,Mel Giedroyc,3,,3,3=,3.0,2.0,2.5,,,
645,137,Invent a new handshake,22,Noel Fielding,4,,4,2,4.0,4.0,3.33,,,
646,138,Make the biggest and best banana,18,Hugh Dennis,3,,3,3,3.0,3.0,3.0,,,
647,138,Make the biggest and best banana,19,Joe Lycett,4,,4,2,4.0,4.0,4.0,,,
648,138,Make the biggest and best banana,20,Lolly Adefope,5,,5,1,5.0,5.0,5.0,,,
649,138,Make the biggest and best banana,21,Mel Giedroyc,1,,1,5,1.0,1.0,1.0,,,
650,138,Make the biggest and best banana,22,Noel Fielding,2,,2,4,2.0,2.0,2.0,,,
651,139,Open the jar of mayonnaise,18,Hugh Dennis,0,,0,,,,,,,
652,139,Open the jar of mayonnaise,19,Joe Lycett,0,,0,,,,,,,
653,139,Open the jar of mayonnaise,20,Lolly Adefope,0,,0,,,,,,,
654,140,The most cash,18,Hugh Dennis,1,,1,5,1.0,1.0,1.0,,,
655,140,The most cash,19,Joe Lycett,4,,4,2,4.0,4.0,4.0,,,
656,140,The most cash,20,Lolly Adefope,5,,5,1,5.0,5.0,5.0,,,
657,140,The most cash,21,Mel Giedroyc,2,,2,4,2.0,2.0,2.0,,,
658,140,The most cash,22,Noel Fielding,3,,3,3,3.0,3.0,3.0,,,
659,141,Create an exotic sandwich,18,Hugh Dennis,1,,1,5,1.0,1.0,1.0,,,
660,141,Create an exotic sandwich,19,Joe Lycett,4,,4,2,4.0,4.0,4.0,,,
661,141,Create an exotic sandwich,20,Lolly Adefope,3,,3,3,3.0,3.0,3.0,,,
662,141,Create an exotic sandwich,21,Mel Giedroyc,2,,2,4,2.0,2.0,2.0,,,
663,141,Create an exotic sandwich,22,Noel Fielding,5,,5,1,5.0,5.0,5.0,,,
664,142,Eat your exotic sandwich,18,Hugh Dennis,5,,5,1,5.0,5.0,5.0,,,
665,142,Eat your exotic sandwich,19,Joe Lycett,2,,2,4,2.0,2.0,2.0,,,
666,142,Eat your exotic sandwich,20,Lolly Adefope,3,,3,3,3.0,3.0,3.0,,,
667,142,Eat your exotic sandwich,21,Mel Giedroyc,4,1,5,2,4.0,4.0,4.0,,,
668,142,Eat your exotic sandwich,22,Noel Fielding,1,1,2,5,1.0,1.0,1.0,,,
669,143,Strike an item the farthest,18,Hugh Dennis,4,,4,2,4.0,4.0,4.0,,,
670,143,Strike an item the farthest,19,Joe Lycett,3,,3,3,3.0,3.0,3.0,,,
671,143,Strike an item the farthest,20,Lolly Adefope,1,,1,5,1.0,1.0,1.0,,,
672,143,Strike an item the farthest,21,Mel Giedroyc,2,,2,4,2.0,2.0,2.0,,,
673,143,Strike an item the farthest,22,Noel Fielding,5,,5,1,5.0,5.0,5.0,,,
674,144,Do something surprising with a duck,18,Hugh Dennis,2,,2,4,2.0,2.0,2.0,,,
675,144,Do something surprising with a duck,19,Joe Lycett,3,,3,3,3.0,3.0,3.0,,,
676,144,Do something surprising with a duck,20,Lolly Adefope,1,,1,5,1.0,1.0,1.0,,,
677,144,Do something surprising with a duck,21,Mel Giedroyc,5,,5,1,5.0,5.0,5.0,,,
678,144,Do something surprising with a duck,22,Noel Fielding,4,,4,2,4.0,4.0,4.0,,,
679,145,Draw the median duck,18,Hugh Dennis,0,,0,,,,,,,
680,145,Draw the median duck,19,Joe Lycett,0,,0,,,,,,,
681,145,Draw the median duck,20,Lolly Adefope,0,,0,,,,,,,
682,145,Draw the median duck,21,Mel Giedroyc,5,,5,1,5.0,5.0,5.0,,,
683,145,Draw the median duck,22,Noel Fielding,0,1,1,,,,,,,
684,146,The most excellent noise,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
685,146,The most excellent noise,24,Bob Mortimer,2,,2,4,2.0,2.0,2.0,,,
686,146,The most excellent noise,25,Mark Watson,5,,5,1,5.0,5.0,5.0,,,
687,146,The most excellent noise,26,Nish Kumar,1,,1,5,1.0,1.0,1.0,,,
688,146,The most excellent noise,27,Sally Phillips,4,,4,2,4.0,4.0,4.0,,,
689,147,Give Alex a special cuddle,23,Aisling Bea,3,,3,3,3.0,3.0,2.81,,,
690,147,Give Alex a special cuddle,24,Bob Mortimer,5,,5,1,5.0,5.0,4.69,,,
691,147,Give Alex a special cuddle,25,Mark Watson,2,,2,4=,2.0,1.5,1.88,,,
692,147,Give Alex a special cuddle,26,Nish Kumar,2,,2,4=,2.0,1.5,1.88,,,
693,147,Give Alex a special cuddle,27,Sally Phillips,4,,4,2,4.0,4.0,3.75,,,
694,148,Get Alex to dry land,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
695,148,Get Alex to dry land,24,Bob Mortimer,2,,2,4,2.0,2.0,2.0,,,
696,148,Get Alex to dry land,25,Mark Watson,1,,1,5,1.0,1.0,1.0,,,
697,148,Get Alex to dry land,26,Nish Kumar,5,,5,1,5.0,5.0,5.0,,,
698,148,Get Alex to dry land,27,Sally Phillips,4,,4,2,4.0,4.0,4.0,,,
699,149,Score a basket without your hands,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
700,149,Score a basket without your hands,24,Bob Mortimer,5,,5,1,5.0,5.0,5.0,,,
701,149,Score a basket without your hands,25,Mark Watson,4,,4,2,4.0,4.0,4.0,,,
702,149,Score a basket without your hands,26,Nish Kumar,2,,2,4,2.0,2.0,2.0,,,
703,149,Score a basket without your hands,27,Sally Phillips,,,0,,,,,,,
704,150,Get some fruit into the bowl,23,Aisling Bea,1,,1,5,1.0,1.0,1.0,,,
705,150,Get some fruit into the bowl,24,Bob Mortimer,4,,4,2,4.0,4.0,4.0,,,
706,150,Get some fruit into the bowl,25,Mark Watson,5,,5,1,5.0,5.0,5.0,,,
707,150,Get some fruit into the bowl,26,Nish Kumar,3,,3,3,3.0,3.0,3.0,,,
708,150,Get some fruit into the bowl,27,Sally Phillips,2,,2,4,2.0,2.0,2.0,,,
709,151,The hippest headwear,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
710,151,The hippest headwear,24,Bob Mortimer,4,,4,2,4.0,4.0,4.0,,,
711,151,The hippest headwear,25,Mark Watson,2,,2,4,2.0,2.0,2.0,,,
712,151,The hippest headwear,26,Nish Kumar,1,,1,5,1.0,1.0,1.0,,,
713,151,The hippest headwear,27,Sally Phillips,5,,5,1,5.0,5.0,5.0,,,
714,152,Make a coconut-flinging machine,23,Aisling Bea,2,,2,4=,2.0,1.5,1.88,,,
715,152,Make a coconut-flinging machine,24,Bob Mortimer,5,,5,1,5.0,5.0,4.69,,,
716,152,Make a coconut-flinging machine,25,Mark Watson,2,,2,4=,2.0,1.5,1.88,,,
717,152,Make a coconut-flinging machine,26,Nish Kumar,3,,3,3,3.0,3.0,2.81,,,
718,152,Make a coconut-flinging machine,27,Sally Phillips,4,,4,2,4.0,4.0,3.75,,,
719,153,Paint a rainbow in the dark,23,Aisling Bea,5,,5,1,5.0,5.0,5.0,,,
720,153,Paint a rainbow in the dark,24,Bob Mortimer,1,,1,5,1.0,1.0,1.0,,,
721,153,Paint a rainbow in the dark,25,Mark Watson,3,,3,3,3.0,3.0,3.0,,,
722,153,Paint a rainbow in the dark,26,Nish Kumar,2,,2,4,2.0,2.0,2.0,,,
723,153,Paint a rainbow in the dark,27,Sally Phillips,4,,4,2,4.0,4.0,4.0,,,
724,154,Slice bread using something from the caravan,23,Aisling Bea,,,0,,,,,,,
725,154,Slice bread using something from the caravan,24,Bob Mortimer,,,0,,,,,,,
726,154,Slice bread using something from the caravan,25,Mark Watson,4,,4,2,4.0,4.0,4.0,,,
727,154,Slice bread using something from the caravan,26,Nish Kumar,5,,5,1,5.0,5.0,5.0,,,
728,154,Slice bread using something from the caravan,27,Sally Phillips,,,0,,,,,,,
729,155,Create the greatest splat,23,Aisling Bea,2,,2,2=,,,2.5,3.0,2.0,2.5
730,155,Create the greatest splat,24,Bob Mortimer,2,,2,2=,,,2.5,3.0,2.0,2.5
731,155,Create the greatest splat,25,Mark Watson,3,,3,1=,,,3.75,5.0,3.0,3.5
732,155,Create the greatest splat,26,Nish Kumar,3,,3,1=,,,3.75,5.0,3.0,3.5
733,155,Create the greatest splat,27,Sally Phillips,2,,2,2=,,,2.5,3.0,2.0,2.5
734,156,Paint your own canvas,23,Aisling Bea,5,,5,1=,5.0,3.5,3.12,,,
735,156,Paint your own canvas,24,Bob Mortimer,4,,4,5,1.0,1.0,2.5,,,
736,156,Paint your own canvas,25,Mark Watson,5,,5,1=,5.0,3.5,3.12,,,
737,156,Paint your own canvas,26,Nish Kumar,5,,5,1=,5.0,3.5,3.12,,,
738,156,Paint your own canvas,27,Sally Phillips,5,,5,1=,5.0,3.5,3.12,,,
739,157,The proudest item,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
740,157,The proudest item,24,Bob Mortimer,5,,5,1,5.0,5.0,5.0,,,
741,157,The proudest item,25,Mark Watson,2,,2,4,2.0,2.0,2.0,,,
742,157,The proudest item,26,Nish Kumar,1,,1,5,1.0,1.0,1.0,,,
743,157,The proudest item,27,Sally Phillips,4,,4,2,4.0,4.0,4.0,,,
744,158,Retrieve the table tennis ball from the tube,23,Aisling Bea,,,0,,,,,,,
745,158,Retrieve the table tennis ball from the tube,24,Bob Mortimer,5,,5,1,5.0,5.0,5.0,,,
746,158,Retrieve the table tennis ball from the tube,25,Mark Watson,3,,3,3,3.0,3.0,3.0,,,
747,158,Retrieve the table tennis ball from the tube,26,Nish Kumar,2,,2,4,2.0,2.0,2.0,,,
748,158,Retrieve the table tennis ball from the tube,27,Sally Phillips,4,,4,2,4.0,4.0,4.0,,,
749,159,Make a coconut businessman,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
750,159,Make a coconut businessman,24,Bob Mortimer,1,,1,5,1.0,1.0,1.0,,,
751,159,Make a coconut businessman,25,Mark Watson,4,,4,2,4.0,4.0,4.0,,,
752,159,Make a coconut businessman,26,Nish Kumar,5,,5,1,5.0,5.0,5.0,,,
753,159,Make a coconut businessman,27,Sally Phillips,2,,2,4,2.0,2.0,2.0,,,
754,160,"Eat one item, balance one item, throw one item",23,Aisling Bea,2,,2,4,2.0,2.0,2.0,,,
755,160,"Eat one item, balance one item, throw one item",24,Bob Mortimer,4,,4,2,4.0,4.0,4.0,,,
756,160,"Eat one item, balance one item, throw one item",25,Mark Watson,3,,3,3,3.0,3.0,3.0,,,
757,160,"Eat one item, balance one item, throw one item",26,Nish Kumar,0,,0,,,,,,,
758,160,"Eat one item, balance one item, throw one item",27,Sally Phillips,5,,5,1,5.0,5.0,5.0,,,
759,161,Word table tennis,23,Aisling Bea,5,,5,1,5.0,5.0,5.0,,,
760,161,Word table tennis,24,Bob Mortimer,2,,2,4,2.0,2.0,2.0,,,
761,161,Word table tennis,25,Mark Watson,3,,3,3,3.0,3.0,3.0,,,
762,161,Word table tennis,26,Nish Kumar,4,,4,2,4.0,4.0,4.0,,,
763,161,Word table tennis,27,Sally Phillips,1,,1,5,1.0,1.0,1.0,,,
764,162,The most extraordinary souvenir,23,Aisling Bea,5,,5,1,5.0,5.0,5.0,,,
765,162,The most extraordinary souvenir,24,Bob Mortimer,1,,1,5,1.0,1.0,1.0,,,
766,162,The most extraordinary souvenir,25,Mark Watson,2,,2,4,2.0,2.0,2.0,,,
767,162,The most extraordinary souvenir,26,Nish Kumar,4,,4,2,4.0,4.0,4.0,,,
768,162,The most extraordinary souvenir,27,Sally Phillips,3,,3,3,3.0,3.0,3.0,,,
769,163,Make marmite,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
770,163,Make marmite,24,Bob Mortimer,5,,5,1,5.0,5.0,5.0,,,
771,163,Make marmite,25,Mark Watson,4,,4,2,4.0,4.0,4.0,,,
772,163,Make marmite,26,Nish Kumar,,,0,,,,,,,
773,163,Make marmite,27,Sally Phillips,2,,2,4,2.0,2.0,2.0,,,
774,164,Do something remarkable synchronised,23,Aisling Bea,3,,3,1=,,,3.46,5.0,3.0,3.5
775,164,Do something remarkable synchronised,24,Bob Mortimer,3,,3,1=,,,3.46,5.0,3.0,3.5
776,164,Do something remarkable synchronised,25,Mark Watson,2,,2,2=,,,2.31,3.0,2.0,2.5
777,164,Do something remarkable synchronised,26,Nish Kumar,2,,2,2=,,,2.31,3.0,2.0,2.5
778,164,Do something remarkable synchronised,27,Sally Phillips,3,,3,1=,,,3.46,5.0,3.0,3.5
779,165,Blow up a balloon to the size of a cucumber,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
780,165,Blow up a balloon to the size of a cucumber,24,Bob Mortimer,4,,4,2,4.0,4.0,4.0,,,
781,165,Blow up a balloon to the size of a cucumber,25,Mark Watson,5,,5,1,5.0,5.0,5.0,,,
782,165,Blow up a balloon to the size of a cucumber,26,Nish Kumar,1,,1,5,1.0,1.0,1.0,,,
783,165,Blow up a balloon to the size of a cucumber,27,Sally Phillips,2,,2,4,2.0,2.0,2.0,,,
784,166,Spot the difference,23,Aisling Bea,5,,5,1,5.0,5.0,5.0,,,
785,166,Spot the difference,24,Bob Mortimer,2,,2,4=,2.0,1.5,2.0,,,
786,166,Spot the difference,25,Mark Watson,3,,3,2=,4.0,3.5,3.0,,,
787,166,Spot the difference,26,Nish Kumar,3,,3,2=,4.0,3.5,3.0,,,
788,166,Spot the difference,27,Sally Phillips,2,,2,4=,2.0,1.5,2.0,,,
789,167,Sneeze the fastest,23,Aisling Bea,,,0,,,,,,,
790,167,Sneeze the fastest,24,Bob Mortimer,5,,5,1,5.0,5.0,5.0,,,
791,167,Sneeze the fastest,25,Mark Watson,4,,4,2,4.0,4.0,4.0,,,
792,167,Sneeze the fastest,26,Nish Kumar,0,,0,,,,,,,
793,167,Sneeze the fastest,27,Sally Phillips,,,0,,,,,,,
794,168,Greg says...,23,Aisling Bea,5,,5,1,5.0,5.0,5.0,,,
795,168,Greg says...,24,Bob Mortimer,1,,1,5,1.0,1.0,1.0,,,
796,168,Greg says...,25,Mark Watson,4,,4,2,4.0,4.0,4.0,,,
797,168,Greg says...,26,Nish Kumar,2,,2,4,2.0,2.0,2.0,,,
798,168,Greg says...,27,Sally Phillips,3,,3,3,3.0,3.0,3.0,,,
799,169,Backthrow a picture of a Swede into a bin,23,Aisling Bea,0,,0,,,,,,,
800,169,Backthrow a picture of a Swede into a bin,25,Mark Watson,0,,0,,,,,,,
801,170,The most high-octane item,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
802,170,The most high-octane item,24,Bob Mortimer,4,,4,2,4.0,4.0,4.0,,,
803,170,The most high-octane item,25,Mark Watson,1,,1,5,1.0,1.0,1.0,,,
804,170,The most high-octane item,26,Nish Kumar,2,,2,4,2.0,2.0,2.0,,,
805,170,The most high-octane item,27,Sally Phillips,5,,5,1,5.0,5.0,5.0,,,
806,171,Put the largest thing inside a balloon,23,Aisling Bea,5,,5,1,5.0,5.0,5.0,,,
807,171,Put the largest thing inside a balloon,24,Bob Mortimer,0,,0,,,,,,,
808,171,Put the largest thing inside a balloon,25,Mark Watson,4,,4,2,4.0,4.0,4.0,,,
809,171,Put the largest thing inside a balloon,26,Nish Kumar,0,,0,,,,,,,
810,171,Put the largest thing inside a balloon,27,Sally Phillips,0,,0,,,,,,,
811,172,Create a remarkable water cooler moment,23,Aisling Bea,2,,2,4,2.0,2.0,2.0,,,
812,172,Create a remarkable water cooler moment,24,Bob Mortimer,3,,3,3,3.0,3.0,3.0,,,
813,172,Create a remarkable water cooler moment,25,Mark Watson,1,,1,5,1.0,1.0,1.0,,,
814,172,Create a remarkable water cooler moment,26,Nish Kumar,4,,4,2,4.0,4.0,4.0,,,
815,172,Create a remarkable water cooler moment,27,Sally Phillips,5,,5,1,5.0,5.0,5.0,,,
816,173,Text the Taskmaster every day,25,Mark Watson,,,0,,,,,,,
817,174,Build a can tower & greet Alex from different countries,23,Aisling Bea,1,,1,5,1.0,1.0,0.938,,,
818,174,Build a can tower & greet Alex from different countries,24,Bob Mortimer,5,,5,1=,5.0,4.5,4.69,,,
819,174,Build a can tower & greet Alex from different countries,25,Mark Watson,5,,5,1=,5.0,4.5,4.69,,,
820,174,Build a can tower & greet Alex from different countries,26,Nish Kumar,3,,3,3,3.0,3.0,2.81,,,
821,174,Build a can tower & greet Alex from different countries,27,Sally Phillips,2,,2,4,2.0,2.0,1.88,,,
822,175,Identify the Finns,23,Aisling Bea,4,,4,2=,4.0,3.5,3.53,,,
823,175,Identify the Finns,24,Bob Mortimer,2,,2,4=,2.0,1.5,1.76,,,
824,175,Identify the Finns,25,Mark Watson,5,,5,1,5.0,5.0,4.41,,,
825,175,Identify the Finns,26,Nish Kumar,4,,4,2=,4.0,3.5,3.53,,,
826,175,Identify the Finns,27,Sally Phillips,2,,2,4=,2.0,1.5,1.76,,,
827,176,The best home-made item,23,Aisling Bea,4,,4,2,4.0,4.0,4.0,,,
828,176,The best home-made item,24,Bob Mortimer,5,,5,1,5.0,5.0,5.0,,,
829,176,The best home-made item,25,Mark Watson,1,,1,5,1.0,1.0,1.0,,,
830,176,The best home-made item,26,Nish Kumar,3,,3,3,3.0,3.0,3.0,,,
831,176,The best home-made item,27,Sally Phillips,2,,2,4,2.0,2.0,2.0,,,
832,177,Balance Alex on a see-saw,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
833,177,Balance Alex on a see-saw,24,Bob Mortimer,2,,2,4,2.0,2.0,2.0,,,
834,177,Balance Alex on a see-saw,25,Mark Watson,1,,1,5,1.0,1.0,1.0,,,
835,177,Balance Alex on a see-saw,26,Nish Kumar,5,,5,1,5.0,5.0,5.0,,,
836,177,Balance Alex on a see-saw,27,Sally Phillips,4,,4,2,4.0,4.0,4.0,,,
837,178,Record the most incredible PoV footage,23,Aisling Bea,4,,4,2=,4.0,3.0,3.33,,,
838,178,Record the most incredible PoV footage,24,Bob Mortimer,4,,4,2=,4.0,3.0,3.33,,,
839,178,Record the most incredible PoV footage,25,Mark Watson,4,,4,2=,4.0,3.0,3.33,,,
840,178,Record the most incredible PoV footage,26,Nish Kumar,1,,1,5,1.0,1.0,0.833,,,
841,178,Record the most incredible PoV footage,27,Sally Phillips,5,,5,1,5.0,5.0,4.17,,,
842,179,The golden pineapple portfolio,23,Aisling Bea,0,,0,,,,,,,
843,180,Light a candle using a cupcake,23,Aisling Bea,1,,1,5,1.0,1.0,1.0,,,
844,180,Light a candle using a cupcake,24,Bob Mortimer,5,,5,1,5.0,5.0,5.0,,,
845,180,Light a candle using a cupcake,25,Mark Watson,4,,4,2,4.0,4.0,4.0,,,
846,180,Light a candle using a cupcake,26,Nish Kumar,2,,2,4,2.0,2.0,2.0,,,
847,180,Light a candle using a cupcake,27,Sally Phillips,3,,3,3,3.0,3.0,3.0,,,
848,181,Make yourself monotone,23,Aisling Bea,5,,5,1,5.0,5.0,5.0,,,
849,181,Make yourself monotone,24,Bob Mortimer,2,,2,4,2.0,2.0,2.0,,,
850,181,Make yourself monotone,25,Mark Watson,3,,3,3,3.0,3.0,3.0,,,
851,181,Make yourself monotone,26,Nish Kumar,1,,1,5,1.0,1.0,1.0,,,
852,181,Make yourself monotone,27,Sally Phillips,4,,4,2,4.0,4.0,4.0,,,
853,182,Kick yoghurt at a target,24,Bob Mortimer,0,,0,,,,,,,
854,182,Kick yoghurt at a target,27,Sally Phillips,0,,0,,,,,,,
855,183,The most surprisingly expensive item,23,Aisling Bea,3,,3,3=,3.0,2.5,2.81,,,
856,183,The most surprisingly expensive item,24,Bob Mortimer,3,,3,3=,3.0,2.5,2.81,,,
857,183,The most surprisingly expensive item,25,Mark Watson,5,,5,1,5.0,5.0,4.69,,,
858,183,The most surprisingly expensive item,26,Nish Kumar,1,,1,5,1.0,1.0,0.938,,,
859,183,The most surprisingly expensive item,27,Sally Phillips,4,,4,2,4.0,4.0,3.75,,,
860,184,Travel blindfolded for three minutes and retrace your steps,23,Aisling Bea,4,,4,2,4.0,4.0,4.0,,,
861,184,Travel blindfolded for three minutes and retrace your steps,24,Bob Mortimer,5,,5,1,5.0,5.0,5.0,,,
862,184,Travel blindfolded for three minutes and retrace your steps,25,Mark Watson,2,,2,4,2.0,2.0,2.0,,,
863,184,Travel blindfolded for three minutes and retrace your steps,26,Nish Kumar,1,,1,5,1.0,1.0,1.0,,,
864,184,Travel blindfolded for three minutes and retrace your steps,27,Sally Phillips,3,,3,3,3.0,3.0,3.0,,,
865,185,Coconut bobsleigh,23,Aisling Bea,5,,5,1,5.0,5.0,5.0,,,
866,185,Coconut bobsleigh,24,Bob Mortimer,,,0,,,,,,,
867,185,Coconut bobsleigh,25,Mark Watson,3,,3,3,3.0,3.0,3.0,,,
868,185,Coconut bobsleigh,26,Nish Kumar,4,,4,2,4.0,4.0,4.0,,,
869,185,Coconut bobsleigh,27,Sally Phillips,,,0,,,,,,,
870,186,Vote for who should receive five points,23,Aisling Bea,0,,0,,,,,,,
871,186,Vote for who should receive five points,24,Bob Mortimer,0,,0,,,,,,,
872,186,Vote for who should receive five points,25,Mark Watson,-2,,-2,,,,,,,
873,186,Vote for who should receive five points,26,Nish Kumar,-2,,-2,,,,,,,
874,186,Vote for who should receive five points,27,Sally Phillips,5,,5,1,5.0,5.0,5.0,,,
875,187,Make a funny flick book,23,Aisling Bea,3,,3,3=,3.0,2.0,2.37,,,
876,187,Make a funny flick book,24,Bob Mortimer,5,,5,1=,5.0,4.5,3.95,,,
877,187,Make a funny flick book,25,Mark Watson,3,,3,3=,3.0,2.0,2.37,,,
878,187,Make a funny flick book,26,Nish Kumar,5,,5,1=,5.0,4.5,3.95,,,
879,187,Make a funny flick book,27,Sally Phillips,3,,3,3=,3.0,2.0,2.37,,,
880,188,Zipwire items to the Taskmaster,23,Aisling Bea,2,,2,4,2.0,2.0,2.0,,,
881,188,Zipwire items to the Taskmaster,24,Bob Mortimer,5,,5,1,5.0,5.0,5.0,,,
882,188,Zipwire items to the Taskmaster,25,Mark Watson,4,,4,2,4.0,4.0,4.0,,,
883,188,Zipwire items to the Taskmaster,26,Nish Kumar,3,,3,3,3.0,3.0,3.0,,,
884,188,Zipwire items to the Taskmaster,27,Sally Phillips,1,,1,5,1.0,1.0,1.0,,,
885,189,The most awkward item to take home,23,Aisling Bea,2,,2,4,2.0,2.0,2.0,,,
886,189,The most awkward item to take home,24,Bob Mortimer,1,,1,5,1.0,1.0,1.0,,,
887,189,The most awkward item to take home,25,Mark Watson,5,,5,1,5.0,5.0,5.0,,,
888,189,The most awkward item to take home,26,Nish Kumar,4,,4,2,4.0,4.0,4.0,,,
889,189,The most awkward item to take home,27,Sally Phillips,3,,3,3,3.0,3.0,3.0,,,
890,190,Transport a coconut as far as possible,23,Aisling Bea,3,,3,3,3.0,3.0,3.0,,,
891,190,Transport a coconut as far as possible,24,Bob Mortimer,4,,4,2,4.0,4.0,4.0,,,
892,190,Transport a coconut as far as possible,25,Mark Watson,,,0,,,,,,,
893,190,Transport a coconut as far as possible,26,Nish Kumar,2,,2,4,2.0,2.0,2.0,,,
894,190,Transport a coconut as far as possible,27,Sally Phillips,5,,5,1,5.0,5.0,5.0,,,
895,191,Create the best graph,23,Aisling Bea,3,,3,3=,3.0,2.0,2.5,,,
896,191,Create the best graph,24,Bob Mortimer,4,,4,2,4.0,4.0,3.33,,,
897,191,Create the best graph,25,Mark Watson,3,,3,3=,3.0,2.0,2.5,,,
898,191,Create the best graph,26,Nish Kumar,5,,5,1,5.0,5.0,4.17,,,
899,191,Create the best graph,27,Sally Phillips,3,,3,3=,3.0,2.0,2.5,,,
900,192,Make the most fish puns,1,Alex Horne,5,,5,,,,,,,
901,192,Make the most fish puns,27,Sally Phillips,0,,0,,,,,,,
902,193,Write and perform a song about a stranger,23,Aisling Bea,2,,2,2=,,,2.5,3.0,2.0,2.5
903,193,Write and perform a song about a stranger,24,Bob Mortimer,2,,2,2=,,,2.5,3.0,2.0,2.5
904,193,Write and perform a song about a stranger,25,Mark Watson,3,,3,1=,,,3.75,5.0,3.0,3.5
905,193,Write and perform a song about a stranger,26,Nish Kumar,3,,3,1=,,,3.75,5.0,3.0,3.5
906,193,Write and perform a song about a stranger,27,Sally Phillips,2,,2,2=,,,2.5,3.0,2.0,2.5
907,194,Throw an egg through a basketball hoop,23,Aisling Bea,0,,0,,,,,,,
908,194,Throw an egg through a basketball hoop,24,Bob Mortimer,5,,5,1,5.0,5.0,5.0,,,
909,194,Throw an egg through a basketball hoop,25,Mark Watson,0,,0,,,,,,,
910,194,Throw an egg through a basketball hoop,26,Nish Kumar,0,,0,,,,,,,
911,194,Throw an egg through a basketball hoop,27,Sally Phillips,4,,4,2,4.0,4.0,4.0,,,
912,195,The most embarrassing item,28,Bob Mortimer,2,,2,4,2.0,2.0,2.0,,,
913,195,The most embarrassing item,29,Josh Widdicombe,5,,5,1,5.0,5.0,5.0,,,
914,195,The most embarrassing item,30,Katherine Ryan,4,,4,2,4.0,4.0,4.0,,,
915,195,The most embarrassing item,31,Noel Fielding,1,,1,5,1.0,1.0,1.0,,,
916,195,The most embarrassing item,32,Rob Beckett,3,,3,3,3.0,3.0,3.0,,,
917,196,Throw an exercise ball into a bath or put the coconuts in a trolley,28,Bob Mortimer,2,,2,4,2.0,2.0,2.0,,,
918,196,Throw an exercise ball into a bath or put the coconuts in a trolley,29,Josh Widdicombe,1,,1,5,1.0,1.0,1.0,,,
919,196,Throw an exercise ball into a bath or put the coconuts in a trolley,30,Katherine Ryan,3,,3,3,3.0,3.0,3.0,,,
920,196,Throw an exercise ball into a bath or put the coconuts in a trolley,31,Noel Fielding,5,,5,1,5.0,5.0,5.0,,,
921,196,Throw an exercise ball into a bath or put the coconuts in a trolley,32,Rob Beckett,4,,4,2,4.0,4.0,4.0,,,
922,197,Blow something substantial off a table,28,Bob Mortimer,2,,2,4,2.0,2.0,1.88,,,
923,197,Blow something substantial off a table,29,Josh Widdicombe,4,,4,2=,4.0,3.5,3.75,,,
924,197,Blow something substantial off a table,30,Katherine Ryan,4,,4,2=,4.0,3.5,3.75,,,
925,197,Blow something substantial off a table,31,Noel Fielding,1,,1,5,1.0,1.0,0.938,,,
926,197,Blow something substantial off a table,32,Rob Beckett,5,,5,1,5.0,5.0,4.69,,,
927,198,Perform a miracle,28,Bob Mortimer,4,,4,3=,3.0,2.5,2.86,,,
928,198,Perform a miracle,29,Josh Widdicombe,5,,5,1=,5.0,4.5,3.57,,,
929,198,Perform a miracle,30,Katherine Ryan,5,,5,1=,5.0,4.5,3.57,,,
930,198,Perform a miracle,31,Noel Fielding,4,,4,3=,3.0,2.5,2.86,,,
931,198,Perform a miracle,32,Rob Beckett,3,,3,5,1.0,1.0,2.14,,,
932,199,The second longest T-word,28,Bob Mortimer,1,,1,5,1.0,1.0,0.833,,,
933,199,The second longest T-word,29,Josh Widdicombe,4,,4,2=,4.0,3.0,3.33,,,
934,199,The second longest T-word,30,Katherine Ryan,4,,4,2=,4.0,3.0,3.33,,,
935,199,The second longest T-word,31,Noel Fielding,5,,5,1,5.0,5.0,4.17,,,
936,199,The second longest T-word,32,Rob Beckett,4,,4,2=,4.0,3.0,3.33,,,
